,dates,Т
855,2016-03-25 21:00:00,-2.2
856,2016-03-26 00:00:00,-3.8
857,2016-03-26 03:00:00,-3.0
858,2016-03-26 06:00:00,2.8
859,2016-03-26 09:00:00,6.2
860,2016-03-26 12:00:00,5.8
861,2016-03-26 15:00:00,3.7
862,2016-03-26 18:00:00,2.7
863,2016-03-26 21:00:00,1.5
864,2016-03-27 00:00:00,1.5
865,2016-03-27 03:00:00,1.1
866,2016-03-27 06:00:00,6.6
867,2016-03-27 09:00:00,6.9
868,2016-03-27 12:00:00,7.6
869,2016-03-27 15:00:00,5.4
870,2016-03-27 18:00:00,5.4
871,2016-03-27 21:00:00,4.3
872,2016-03-28 03:00:00,3.5
873,2016-03-28 06:00:00,4.4
874,2016-03-28 09:00:00,10.4
875,2016-03-28 12:00:00,12.7
876,2016-03-28 15:00:00,9.9
877,2016-03-28 18:00:00,7.7
878,2016-03-28 21:00:00,4.8
